Title,Available_OS,Month,Day,Year,Current_Price,Original_Price,Discount_Percentage,Review_Status,Percentage_Positive_Reviews,Reviewer_Count,Game_Tags
Red Dead Redemption 2,"['win', '', '']",Dec, 5,2019,59.99,,,Mostly Positive,72,62964,"['Adventure', 'Action', 'Open World', 'Masterpiece', 'Western', 'Story Rich', 'Multiplayer']"
Paunch,"['win', '', '']",Dec, 4,2019,,,,Very Positive,86,3821,"['Masterpiece', 'Sexual Content', 'Free to Play', 'Nudity', 'Psychological Horror', 'Multiplayer', 'Funny']"
Halo: The Master Chief Collection,"['win', '', '']",Dec, 3,2019,39.99,,,Very Positive,91,70905,"['Masterpiece', 'Great Soundtrack', 'FPS', 'Classic', 'Multiplayer', 'Story Rich', 'Sci-fi']"
Age of Empires II: Definitive Edition,"['win', '', '']",Nov,14,2019,19.99,,,Very Positive,90,32248,"['Strategy', 'RTS', 'Multiplayer', 'Historical', 'Medieval', 'Singleplayer', 'City Builder']"
Marbles on Stream,"['win', '', '']",Nov, 6,2019,,,,Very Positive,80,269,"['Free to Play', 'Racing', 'Simulation', 'Massively Multiplayer', 'Casual']"
Sinking Simulator,"['win', '', '']",Oct,23,2019,,,,Very Positive,82,764,"['Free to Play', 'Simulation', 'Indie', 'Casual', 'Sandbox', 'Destruction', 'Physics']"
Hello Neighbor Alpha 4,"['win', '', '']",Oct,19,2019,,,,Very Positive,87,377,"['Adventure', 'Indie', 'Strategy', 'Free to Play', 'Horror']"
The Jackbox Party Pack 6,"['win', 'mac', 'linux']",Oct,16,2019,29.99,,,Overwhelmingly Positive,95,571,"['Trivia', 'Casual', 'Indie', 'Funny', 'Multiplayer', 'Local Multiplayer', 'Comedy']"
Hello Neighbor Alpha 2,"['win', '', '']",Oct,15,2019,,,,Very Positive,95,256,"['Indie', 'Adventure', 'Strategy', 'Free to Play', 'Horror', 'Multiplayer']"
Walking Zombie 2,"['win', '', '']",Oct,11,2019,,,,Very Positive,86,2715,"['Action', 'RPG', 'Indie', 'Adventure', 'Multiplayer', 'Zombies', 'Survival']"
Legend of Keepers: Prologue,"['win', 'mac', 'linux']",Oct,10,2019,,,,Very Positive,94,2053,"['Free to Play', 'RPG', 'Strategy', 'Indie', 'Turn-Based', 'Roguelite', 'Dungeon Crawler']"
Armajet,"['win', 'mac', '']",Oct, 8,2019,,,,Very Positive,84,383,"['Action', 'Violent', 'Gore', 'eSports', 'Team-Based', 'Free to Play']"
War Selection,"['win', '', '']",Oct, 8,2019,,,,Very Positive,89,4559,"['Strategy', 'Free to Play', 'RTS', 'Massively Multiplayer', 'Base Building', 'Multiplayer', 'Indie']"
